-50;-220;1389
-49;-214;1268
-48;-241;1595
-47;-182;1297
-46;-173;1031
-45;-188;1092
-44;-177;1723
-43;-229;1542
-42;-177;1033
-41;-151;1075
-40;-175;787
-39;-179;620
-38;-171;786
-37;-148;947
-36;-169;860
-35;-180;705
-34;-119;728
-33;-143;180
-32;-86;781
-31;-121;968
-30;-84;1086
-29;-109;540
-28;-145;736
-27;-130;386
-26;-77;493
-25;-170;432
-24;-84;330
-23;-76;642
-22;-123;163
-21;-56;317
-20;-41;433
-19;-80;32
-18;-41;513
-17;-83;272
-16;-73;-173
-15;-65;350
-14;-73;-43
-13;-38;368
-12;-15;3
-11;-48;358
-10;-12;-264
-9;-39;78
-8;-7;185
-7;-72;-139
-6;0;199
-5;-20;-122
-4;-5;95
-3;26;289
-2;19;171
-1;16;35
0;5;-44
1;-23;62
2;30;-488
3;2;300
4;-8;-68
5;10;-414
6;-32;158
7;-2;-81
8;0;121
9;63;8
10;-5;133
11;8;51
12;6;-224
13;64;-390
14;61;-78
15;76;-182
16;7;145
17;93;18
18;67;130
19;94;201
20;64;317
21;82;388
22;97;510
23;66;509
24;96;-90
25;110;440
26;111;-46
27;118;58
28;96;183
29;129;393
30;121;312
31;104;484
32;121;512
33;154;131
34;162;348
35;139;526
36;146;488
37;175;522
38;157;382
39;139;827
40;192;1073
41;151;381
42;180;440
43;185;806
44;189;914
45;134;974
46;188;756
47;224;936
48;170;1039
49;164;855
